timestamp,sample_id,image_path,label_path,image_deleted,label_deleted,errors
2026-01-08T02:15:58.252610,695f1318452d1e60d02e9b56,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001548.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001548.txt,True,True,
2026-01-08T02:15:58.256112,695f1317452d1e60d02e9820,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001610.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001610.txt,True,True,
2026-01-08T02:15:58.258574,695f1317452d1e60d02e96fa,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001634.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001634.txt,True,True,
2026-01-08T02:15:58.259588,695f1317452d1e60d02e965f,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001658.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001658.txt,True,True,
2026-01-08T02:15:58.260588,695f1318452d1e60d02e9b20,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001722.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001722.txt,True,True,
2026-01-08T02:15:58.262115,695f1318452d1e60d02e9b82,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001744.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001744.txt,True,True,
2026-01-08T02:15:58.263031,695f1317452d1e60d02e992f,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001809.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001809.txt,True,True,
2026-01-08T02:15:58.264023,695f1316452d1e60d02e911f,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001833.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001833.txt,True,True,
2026-01-08T02:15:58.267220,695f1317452d1e60d02e96ff,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001855.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001855.txt,True,True,
2026-01-08T02:15:58.268224,695f1317452d1e60d02e99bd,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001919.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001919.txt,True,True,
2026-01-08T02:15:58.269114,695f1318452d1e60d02e9beb,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_001944.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_001944.txt,True,True,
2026-01-08T02:15:58.270143,695f1316452d1e60d02e91f3,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_002020.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_002020.txt,True,True,
2026-01-08T02:15:58.271231,695f1317452d1e60d02e9414,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_002044.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_002044.txt,True,True,
2026-01-08T02:15:58.272218,695f1317452d1e60d02e979e,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_002108.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_002108.txt,True,True,
2026-01-08T02:15:58.273211,695f1317452d1e60d02e994f,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/images/front_251208_002130.jpg,/home/studio/remote_label_data/dataset_test/dice/asb11_1208/labels/front_251208_002130.txt,True,True,
